time,soilmoist1_day_livneh_vic
1951-02-10 00:00:00+00:00,20.036589
1951-02-11 00:00:00+00:00,20.193771
1951-02-12 00:00:00+00:00,19.569426
1951-02-13 00:00:00+00:00,19.088488
1951-02-14 00:00:00+00:00,18.77289
1951-02-15 00:00:00+00:00,18.497238
1951-02-16 00:00:00+00:00,18.339703
1951-02-17 00:00:00+00:00,18.53845
1951-02-18 00:00:00+00:00,18.288265
1951-02-19 00:00:00+00:00,18.094124
1951-02-20 00:00:00+00:00,18.381731
1951-02-21 00:00:00+00:00,18.335804
1951-02-22 00:00:00+00:00,18.452972
1951-02-23 00:00:00+00:00,18.865042
1951-02-24 00:00:00+00:00,18.69826
1951-02-25 00:00:00+00:00,18.650478
1951-02-26 00:00:00+00:00,19.206985
1951-02-27 00:00:00+00:00,19.78427
1951-02-28 00:00:00+00:00,19.964424
1951-03-01 00:00:00+00:00,20.084604
1951-03-02 00:00:00+00:00,19.471788
1951-03-03 00:00:00+00:00,19.577108
1951-03-04 00:00:00+00:00,19.982136
1951-03-05 00:00:00+00:00,19.768782
1951-03-06 00:00:00+00:00,19.692043
1951-03-07 00:00:00+00:00,19.414165
1951-03-08 00:00:00+00:00,19.463842
1951-03-09 00:00:00+00:00,18.987547
1951-03-10 00:00:00+00:00,18.532877
1951-03-11 00:00:00+00:00,18.351898
1951-03-12 00:00:00+00:00,18.36779
1951-03-13 00:00:00+00:00,18.276182
1951-03-14 00:00:00+00:00,18.060352
1951-03-15 00:00:00+00:00,17.901638
1951-03-16 00:00:00+00:00,17.547766
1951-03-17 00:00:00+00:00,17.291567
1951-03-18 00:00:00+00:00,17.187752
1951-03-19 00:00:00+00:00,17.070282
1951-03-20 00:00:00+00:00,16.900663
1951-03-21 00:00:00+00:00,16.690567
1951-03-22 00:00:00+00:00,16.44165
1951-03-23 00:00:00+00:00,16.333277
1951-03-24 00:00:00+00:00,16.195923
1951-03-25 00:00:00+00:00,16.006529
1951-03-26 00:00:00+00:00,15.834498
1951-03-27 00:00:00+00:00,15.684194
1951-03-28 00:00:00+00:00,15.572558
1951-03-29 00:00:00+00:00,15.546578
1951-03-30 00:00:00+00:00,15.343989
1951-03-31 00:00:00+00:00,15.229464
1951-04-01 00:00:00+00:00,15.1336
1951-04-02 00:00:00+00:00,15.117676
1951-04-03 00:00:00+00:00,15.2690935
1951-04-04 00:00:00+00:00,15.409164
1951-04-05 00:00:00+00:00,15.364602
1951-04-06 00:00:00+00:00,15.409273
1951-04-07 00:00:00+00:00,15.208803
1951-04-08 00:00:00+00:00,14.988367
1951-04-09 00:00:00+00:00,14.775932
1951-04-10 00:00:00+00:00,14.563121
1951-04-11 00:00:00+00:00,14.363042
1951-04-12 00:00:00+00:00,14.169478
1951-04-13 00:00:00+00:00,13.991222
1951-04-14 00:00:00+00:00,13.84336
1951-04-15 00:00:00+00:00,13.813503
1951-04-16 00:00:00+00:00,13.989475
1951-04-17 00:00:00+00:00,14.037262
1951-04-18 00:00:00+00:00,14.117525
1951-04-19 00:00:00+00:00,14.351123
1951-04-20 00:00:00+00:00,14.249565
1951-04-21 00:00:00+00:00,14.097536
1951-04-22 00:00:00+00:00,13.966889
1951-04-23 00:00:00+00:00,13.8532095
1951-04-24 00:00:00+00:00,14.173739
1951-04-25 00:00:00+00:00,16.145376
1951-04-26 00:00:00+00:00,16.23892
1951-04-27 00:00:00+00:00,18.024849
1951-04-28 00:00:00+00:00,20.8496
1951-04-29 00:00:00+00:00,20.095436
1951-04-30 00:00:00+00:00,19.286123
1951-05-01 00:00:00+00:00,18.841442
1951-05-02 00:00:00+00:00,18.781715
1951-05-03 00:00:00+00:00,18.969677
1951-05-04 00:00:00+00:00,18.942776
1951-05-05 00:00:00+00:00,18.43758
1951-05-06 00:00:00+00:00,18.784042
1951-05-07 00:00:00+00:00,18.04447
1951-05-08 00:00:00+00:00,17.613026
1951-05-09 00:00:00+00:00,17.206947
1951-05-10 00:00:00+00:00,17.094887
1951-05-11 00:00:00+00:00,17.218266
1951-05-12 00:00:00+00:00,17.106775
1951-05-13 00:00:00+00:00,17.404186
1951-05-14 00:00:00+00:00,17.312027
1951-05-15 00:00:00+00:00,17.308777
1951-05-16 00:00:00+00:00,16.83595
1951-05-17 00:00:00+00:00,16.395002
1951-05-18 00:00:00+00:00,15.987901
1951-05-19 00:00:00+00:00,15.604028
1951-05-20 00:00:00+00:00,15.255723
1951-05-21 00:00:00+00:00,14.971819
1951-05-22 00:00:00+00:00,14.732492
1951-05-23 00:00:00+00:00,14.559036
1951-05-24 00:00:00+00:00,14.233355
1951-05-25 00:00:00+00:00,13.928707
1951-05-26 00:00:00+00:00,13.6544075
1951-05-27 00:00:00+00:00,13.411276
1951-05-28 00:00:00+00:00,13.217773
1951-05-29 00:00:00+00:00,13.0378685
1951-05-30 00:00:00+00:00,12.885213
1951-05-31 00:00:00+00:00,12.750308
1951-06-01 00:00:00+00:00,12.626643
1951-06-02 00:00:00+00:00,12.513328
1951-06-03 00:00:00+00:00,12.475887
1951-06-04 00:00:00+00:00,12.412489
1951-06-05 00:00:00+00:00,12.340562
1951-06-06 00:00:00+00:00,12.243667
1951-06-07 00:00:00+00:00,12.157855
1951-06-08 00:00:00+00:00,12.071534
1951-06-09 00:00:00+00:00,11.984369
1951-06-10 00:00:00+00:00,11.889184
1951-06-11 00:00:00+00:00,11.800204
1951-06-12 00:00:00+00:00,11.719916
1951-06-13 00:00:00+00:00,11.637145
